Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Sound category,Additional information
1,Spectrogram 1,1,0,1.707,2986.2,5695.9,Bird,
2,Spectrogram 1,1,0.335,1.829,5752.1,15118.9,Other animal,
3,Spectrogram 1,1,0.346,1.789,0,3574.5,Buzz,
4,Spectrogram 1,1,6.85,8.72,4652,13638.8,Other animal,
5,Spectrogram 1,1,7.52,14.939,2909.1,5677.4,Bird,
6,Spectrogram 1,1,14.116,16.219,4863.4,13215.9,Other animal,
7,Spectrogram 1,1,18.415,23.553,2597.4,5677.4,Bird,
8,Spectrogram 1,1,20.061,21.902,5958,13427.3,Other animal,
9,Spectrogram 1,1,26.659,29.037,3489,14273.1,Other animal,
10,Spectrogram 1,1,33.569,36.15,4969.2,13110.1,Other animal,
11,Spectrogram 1,1,33.817,36.541,3182.8,5677.4,Bird,
12,Spectrogram 1,1,34.285,37.496,0,3063.8,Buzz,
13,Spectrogram 1,1,40.533,54.946,3967.1,12370,Bird,
14,Spectrogram 1,1,42.463,43.451,1190.8,5679.4,Bird,low
15,Spectrogram 1,1,43.911,50.063,3096.8,5677.4,Bird,
16,Spectrogram 1,1,54.305,63.492,3911.9,13110.1,Other animal,
17,Spectrogram 1,1,65.232,67.691,4546.3,13004.4,Other animal,
18,Spectrogram 1,1,65.394,66.187,2493.5,4467.5,Bird,It seems a call far away; 1:13s
19,Spectrogram 1,1,73.484,76.248,3664.1,13321.6,Other animal,
20,Spectrogram 1,1,80.449,81.323,3010.8,5714.3,Bird,
21,Spectrogram 1,1,80.833,83.008,4334.8,13321.6,Other animal,
22,Spectrogram 1,1,88.171,92.5,2537.4,13533,Other animal,
23,Spectrogram 1,1,89.431,90.528,0,3166,Buzz,
24,Spectrogram 1,1,92.451,98.518,2701.3,5849.5,Bird,
25,Spectrogram 1,1,107.085,109.362,3489,13955.9,Other animal,
26,Spectrogram 1,1,108.837,122.049,5496.2,12916,Other animal,
27,Spectrogram 1,1,111.112,114.282,3182.8,5591.4,Bird,
28,Spectrogram 1,1,121.703,123.116,1374,7236.6,Bird,calls too low
29,Spectrogram 1,1,124.976,135.524,4305.3,12158.6,Bird,
30,Spectrogram 1,1,128.778,138.341,3013,5714.3,Bird,
31,Spectrogram 1,1,131.273,132.836,1107,6045.8,Bird,calls too low
32,Spectrogram 1,1,136.447,139.028,4863.4,12370,Other animal,
33,Spectrogram 1,1,137.973,139.483,1360.6,6870.2,Bird,
34,Spectrogram 1,1,144.618,146.732,3594.7,13004.4,Other animal,
35,Spectrogram 1,1,151.732,153.439,3383.3,13465.6,Other animal,
36,Spectrogram 1,1,155.888,158.512,3755.7,16387.7,Other animal,low calls
37,Spectrogram 1,1,160.463,164.752,0,4085.1,Buzz,
38,Spectrogram 1,1,163.557,166.26,3806.2,13850.2,Other animal,
39,Spectrogram 1,1,166.506,167.969,1892.5,7476.5,Bird,
40,Spectrogram 1,1,167.053,171.016,3911.9,12052.9,Other animal,
41,Spectrogram 1,1,177.228,186.171,0,5004.3,Buzz,
42,Spectrogram 1,1,190.399,191.67,985.3,6337.8,Bird,
43,Spectrogram 1,1,191.183,193.866,4017.6,12793,Other animal,
44,Spectrogram 1,1,191.203,192.26,0,3676.6,Buzz,
45,Spectrogram 1,1,199.11,200.98,3277.5,13850.2,Other animal,
46,Spectrogram 1,1,202.343,203.746,1656.4,7694.7,Bird,
47,Spectrogram 1,1,205.585,217.862,1691.6,10809.2,Bird,
48,Spectrogram 1,1,211.694,214.292,2752.7,6709.7,Bird,
49,Spectrogram 1,1,214.685,215.864,0,3880.9,Buzz,
50,Spectrogram 1,1,218.341,219.754,1419.8,7139.8,Bird,low
51,Spectrogram 1,1,220.383,222.395,3066.1,12581.5,Other animal,
52,Spectrogram 1,1,222.224,224.139,1538.1,6162.2,Bird,
53,Spectrogram 1,1,227.908,230.124,2854.6,12370,Other animal,
54,Spectrogram 1,1,231.567,233.53,2336.1,6143.3,Bird,
55,Spectrogram 1,1,236.628,238.477,0,3472.3,Buzz,
56,Spectrogram 1,1,238.498,240.734,3700.4,13427.3,Other animal,
57,Spectrogram 1,1,241.059,255.53,3022.9,11524.2,Bird,
58,Spectrogram 1,1,242.333,244.749,1597.3,4428.7,Bird,
59,Spectrogram 1,1,245.104,251.689,0,2757.4,Buzz,
60,Spectrogram 1,1,255.319,256.864,0,2961.7,Buzz,
61,Spectrogram 1,1,258.51,263.612,1832.1,11358.8,Other animal,two different chirp
62,Spectrogram 1,1,262.291,263.957,0,2655.3,Buzz,
63,Spectrogram 1,1,265.161,266.703,1715.6,5378.3,Bird,low
64,Spectrogram 1,1,267.514,271.579,3389.3,11947.1,Other animal,
65,Spectrogram 1,1,272.108,273.368,3114.5,12158.6,Other animal,
66,Spectrogram 1,1,274.919,277.719,2129.7,5975,Bird,
67,Spectrogram 1,1,276.469,278.807,3572.5,13923.7,Other animal,
68,Spectrogram 1,1,282.851,284.833,3297.7,12274.8,Other animal,Background noise increased
69,Spectrogram 1,1,283.461,284.904,0,3370.2,Buzz,
70,Spectrogram 1,1,290.595,292.14,0,3574.5,Buzz,
71,Spectrogram 1,1,297.04,298.633,2365,10528.1,Bird,low
72,Spectrogram 1,1,307.364,320.169,2106.9,12366.4,Bird,
73,Spectrogram 1,1,351.413,353.202,1557.3,6961.8,Bird,
74,Spectrogram 1,1,362.503,364.256,1449.5,6103.5,Bird,
75,Spectrogram 1,1,362.788,363.235,0,4493.6,Buzz,
76,Spectrogram 1,1,367.079,371.835,0,11175.6,Buzz,
77,Spectrogram 1,1,374.028,375.69,1558.4,5610.4,Bird,
78,Spectrogram 1,1,379.617,381.213,1903.1,13110.1,Other animal,
79,Spectrogram 1,1,384.567,385.888,2326,12793,Other animal,
80,Spectrogram 1,1,387.798,388.571,0,6449.3,Buzz,
81,Spectrogram 1,1,388.977,389.831,1585.9,12475.8,Other animal,
82,Spectrogram 1,1,392.646,394.307,1785.1,5851.2,Bird,
83,Spectrogram 1,1,394.876,396.299,1691.6,12687.2,Other animal,
84,Spectrogram 1,1,398.798,400.16,1431.2,15541.9,Other animal,
85,Spectrogram 1,1,401.924,403.347,2008.8,13215.9,Other animal,
86,Spectrogram 1,1,408.364,410.742,951.5,15013.2,Other animal,
87,Spectrogram 1,1,413.31,415.963,1692.1,6707.8,Bird,
88,Spectrogram 1,1,416.372,417.815,1268.7,14061.7,Other animal,
89,Spectrogram 1,1,420.348,422.07,660.6,13110.1,Other animal,
90,Spectrogram 1,1,422.364,433.42,4440.5,11630,Bird,
91,Spectrogram 1,1,431.707,434.603,2175.5,6600,Bird,
92,Spectrogram 1,1,436.973,438.294,1903.1,15013.2,Other animal,
