Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Category sound	Additional information
1	Spectrogram 1	1	0	71.951	1933.6	13421.8	Other animal	
2	Spectrogram 1	1	0.447	25.854	455	6205.3	Bird	low
3	Spectrogram 1	1	26.171	37.585	0	5014.9	Buzz	
4	Spectrogram 1	1	40.114	45.093	547.5	4745.2	Bird	low
5	Spectrogram 1	1	44.146	55.581	0	4471.5	Buzz	
6	Spectrogram 1	1	56.793	61.163	821.3	5566.5	Bird	low
7	Spectrogram 1	1	67.073	72.439	0	6369.7	Buzz	
8	Spectrogram 1	1	81.724	91.866	1095.1	7665.4	Bird	low
9	Spectrogram 1	1	82.073	108.049	4151.7	14047.4	Other animal	
10	Spectrogram 1	1	98.994	139.969	1003.8	6479.1	Bird	low
11	Spectrogram 1	1	110.805	123.488	3526.1	13080.6	Other animal	
12	Spectrogram 1	1	142.634	181.659	4834.1	15924.2	Other animal	
13	Spectrogram 1	1	144.049	147.504	1642.6	7482.9	Bird	low
14	Spectrogram 1	1	152.89	156.264	0	8486.7	Bird	
15	Spectrogram 1	1	161.65	163.845	0	6387.8	Bird	
16	Spectrogram 1	1	166.256	172.699	821.3	6205.3	Bird	low
17	Spectrogram 1	1	167.841	169.508	273.8	5384	Bird	
18	Spectrogram 1	1	173.147	176.561	0	5101.4	Bird	
19	Spectrogram 1	1	187.146	195.439	5004.7	15469.2	Other animal	
20	Spectrogram 1	1	188.268	189.65	0	6567.2	Buzz	
21	Spectrogram 1	1	193.711	197.207	1460.1	6142.2	Bird	
22	Spectrogram 1	1	205.069	215.219	0	8760.5	Bird	
23	Spectrogram 1	1	218.732	303.439	3639.8	15128	Other animal	
24	Spectrogram 1	1	226.927	243.441	568.7	6570.3	Bird	low
25	Spectrogram 1	1	227.506	228.817	0	6296.6	Buzz	
26	Spectrogram 1	1	237.191	238.167	456.3	6935.4	Bird	
27	Spectrogram 1	1	239.854	240.606	0	5566.5	Buzz	
28	Spectrogram 1	1	241.89	242.825	821.3	7756.7	Bird	
29	Spectrogram 1	1	246.663	250.341	0	8212.9	Bird	
30	Spectrogram 1	1	258.146	261.805	182.5	8304.2	Bird	
31	Spectrogram 1	1	261.439	263.634	0	7391.6	Bird	low
32	Spectrogram 1	1	263.132	264.413	0	5201.5	Buzz	
33	Spectrogram 1	1	270.848	272.839	0	4289	Buzz	
34	Spectrogram 1	1	273.652	290.628	638.8	5384	Bird	low
35	Spectrogram 1	1	295.831	301.787	0	4380.2	Buzz	
36	Spectrogram 1	1	303.587	310.628	730	6570.3	Bird	
37	Spectrogram 1	1	308.805	382.683	3753.6	14559.2	Other animal	
38	Spectrogram 1	1	312.815	330.089	0	3285.2	Buzz	
39	Spectrogram 1	1	343.555	346.482	339.6	7300.4	Bird	low
40	Spectrogram 1	1	348.669	352.632	0	5850.7	Buzz	
41	Spectrogram 1	1	349.754	356.604	339.6	6935.4	Bird	low
42	Spectrogram 1	1	359.929	361.921	0	4895.5	Buzz	
43	Spectrogram 1	1	382.778	386.091	821.3	11133.1	Bird	
44	Spectrogram 1	1	417.057	417.992	0	7393.4	Buzz	background noise
45	Spectrogram 1	1	417.253	419.327	113.2	6022.8	Bird	low
46	Spectrogram 1	1	418.854	440.439	4094.8	14331.8	Other animal	
47	Spectrogram 1	1	424.745	426.127	0	5749	Bird	background noise
48	Spectrogram 1	1	425.652	431.371	0	4015.2	Buzz	background noise
49	Spectrogram 1	1	457.276	467.398	568.7	6205.3	Bird	low
50	Spectrogram 1	1	459.585	464.22	3867.3	14331.8	Other animal	
51	Spectrogram 1	1	475.172	476.351	0	7482.9	Bird	low
52	Spectrogram 1	1	479.025	508.526	821.3	5110.3	Bird	low
53	Spectrogram 1	1	505.439	538.098	7279.6	16606.6	Other animal	
54	Spectrogram 1	1	508.038	513.282	666.7	6444.4	Bird	
55	Spectrogram 1	1	515.367	520.733	365	5657.8	Bird	
56	Spectrogram 1	1	522.542	527.501	547.5	6570.3	Bird	
57	Spectrogram 1	1	528.637	534.125	912.5	5773.6	Bird	
58	Spectrogram 1	1	537.107	542.554	365	5475.3	Bird	low
59	Spectrogram 1	1	546.314	556.392	638.8	5110.3	Bird	
60	Spectrogram 1	1	553.902	625	5004.7	16720.4	Other animal	
61	Spectrogram 1	1	561.188	572.401	547.5	6205.3	Bird	
62	Spectrogram 1	1	575.867	581.842	365	6022.8	Bird	low
63	Spectrogram 1	1	586.058	596.2	456.3	6022.8	Bird	low
64	Spectrogram 1	1	604.485	607.371	912.5	6205.3	Bird	low
65	Spectrogram 1	1	617.078	625.005	365	4562.7	Bird	low
66	Spectrogram 1	1	636.834	639.395	1706.2	6479.1	Bird	low
67	Spectrogram 1	1	646.219	793.268	3753.6	15241.7	Other animal	
68	Spectrogram 1	1	649.318	655.578	682.5	6114.1	Bird	low
69	Spectrogram 1	1	660.31	676.942	730	5201.5	Bird	
70	Spectrogram 1	1	679.788	683.487	91.3	7209.1	Bird	
71	Spectrogram 1	1	690.674	692.991	547.5	6205.3	Bird	
72	Spectrogram 1	1	702.157	748.507	638.8	6022.8	Bird	
73	Spectrogram 1	1	751.385	759.088	547.5	4836.5	Bird	
74	Spectrogram 1	1	754.658	756.284	0	6022.8	Buzz	
75	Spectrogram 1	1	766.259	771.076	638.8	4562.7	Bird	
76	Spectrogram 1	1	777.178	783.174	547.5	5110.3	Bird	
77	Spectrogram 1	1	785.349	786.527	0	4380.2	Buzz	
78	Spectrogram 1	1	806.134	817.171	3696.7	16322.3	Other animal	
79	Spectrogram 1	1	836.561	1044.171	3184.8	14218	Other animal	
80	Spectrogram 1	1	844.771	847.129	821.3	5384	Bird	low
81	Spectrogram 1	1	847.21	851.031	0	6570.3	Bird	
82	Spectrogram 1	1	853.755	856.438	0	6661.6	Bird	
83	Spectrogram 1	1	862.796	866.759	456.3	6479.1	Bird	
84	Spectrogram 1	1	868.023	870.462	0	5475.3	Bird	
85	Spectrogram 1	1	880.43	883.784	456.3	4927.8	Bird	
86	Spectrogram 1	1	888.255	892.747	456.3	5019	Bird	
87	Spectrogram 1	1	895.674	900.43	365	4562.7	Bird	
88	Spectrogram 1	1	896.329	897.783	0	3223.9	Buzz	
89	Spectrogram 1	1	905.385	908.434	182.5	4562.7	Buzz	
90	Spectrogram 1	1	909.357	922.141	456.3	5566.5	Bird	
91	Spectrogram 1	1	927.456	929.652	0	5346	Buzz	
92	Spectrogram 1	1	938.556	940.019	0	7391.6	Buzz	
93	Spectrogram 1	1	942.54	960.885	273.8	6844.1	Bird	low
94	Spectrogram 1	1	973.682	975.583	0	6935.4	Bird	
95	Spectrogram 1	1	984.125	990.666	1003.8	6205.3	Bird	low
96	Spectrogram 1	1	995.523	997.048	0	5384	Buzz	
97	Spectrogram 1	1	998.58	1000.653	0	5840.3	Bird	
98	Spectrogram 1	1	1011.231	1013.115	0	7117.9	Buzz	
99	Spectrogram 1	1	1016.751	1019.068	0	6661.6	Bird	
100	Spectrogram 1	1	1030.592	1032.401	0	7756.7	Buzz	
101	Spectrogram 1	1	1036.326	1040.107	341.2	7300.4	Bird	low
102	Spectrogram 1	1	1040.869	1042.576	0	7574.1	Buzz	
103	Spectrogram 1	1	1046.756	1344.012	2422	13871.6	Other animal	
104	Spectrogram 1	1	1049.176	1094.608	0	6089.6	Buzz	
105	Spectrogram 1	1	1097.494	1099.059	2372.6	5931.6	Bird	
106	Spectrogram 1	1	1099.13	1103.398	3650.2	9034.2	Bird	
107	Spectrogram 1	1	1103.526	1118.465	2372.6	5840.3	Bird	
108	Spectrogram 1	1	1120.392	1132.705	2007.6	6661.6	Bird	
109	Spectrogram 1	1	1146.63	1150.166	876.4	8450.6	Bird	
110	Spectrogram 1	1	1154.6	1157.486	222.2	5384	Bird	low
111	Spectrogram 1	1	1161.246	1167.567	1825.1	5931.6	Bird	
112	Spectrogram 1	1	1167.994	1171.469	912.5	9581.7	Bird	
113	Spectrogram 1	1	1171.656	1172.673	1095.1	7482.9	Bird	
114	Spectrogram 1	1	1179.108	1190.205	796.2	4549.8	Bird	low
115	Spectrogram 1	1	1192.461	1197.014	0	4197.7	Buzz	
116	Spectrogram 1	1	1202.799	1207.189	1186.3	5657.8	Bird	low
117	Spectrogram 1	1	1202.929	1207.136	0	3011.4	Buzz	low
118	Spectrogram 1	1	1208.663	1211.711	456.3	8851.7	Bird	
119	Spectrogram 1	1	1209.829	1212.624	0	2626.9	Buzz	
120	Spectrogram 1	1	1223.022	1227.352	0	3558.9	Buzz	
121	Spectrogram 1	1	1229.526	1230.827	0	6387.8	Bird	
122	Spectrogram 1	1	1230.868	1236.762	0	4471.5	Buzz	
123	Spectrogram 1	1	1234.364	1245.38	730	6114.1	Bird	low
124	Spectrogram 1	1	1249.376	1250.575	0	6479.1	Buzz	
125	Spectrogram 1	1	1249.478	1252.242	547.5	8212.9	Bird	
126	Spectrogram 1	1	1253.494	1267.234	912.5	7117.9	Bird	low
127	Spectrogram 1	1	1259.506	1268.799	0	8851.7	Buzz	
128	Spectrogram 1	1	1270.925	1278.425	730	5657.8	Bird	
129	Spectrogram 1	1	1279.827	1288.953	638.8	4654	Bird	
130	Spectrogram 1	1	1282.449	1283.994	0	8121.7	Buzz	
131	Spectrogram 1	1	1289.535	1313.502	730	5475.3	Bird	
132	Spectrogram 1	1	1291.689	1306.445	0	3376.4	Buzz	
133	Spectrogram 1	1	1314.774	1321.177	821.3	5657.8	Bird	
134	Spectrogram 1	1	1315.913	1317.376	0	4927.8	Buzz	
135	Spectrogram 1	1	1321.585	1347.561	821.3	7734.6	Bird	
136	Spectrogram 1	1	1345.147	1501	2972.5	13761.5	Other animal	
137	Spectrogram 1	1	1348.6	1350.124	0	9855.5	Other animal	
138	Spectrogram 1	1	1350.551	1360.242	0	2555.1	Buzz	
139	Spectrogram 1	1	1352.14	1435.311	638.8	6260.9	Bird	
140	Spectrogram 1	1	1378.095	1382.913	0	3650.2	Buzz	
141	Spectrogram 1	1	1437.482	1438.843	0	5292.8	Buzz	
142	Spectrogram 1	1	1438.693	1445.807	456.3	6661.6	Bird	
143	Spectrogram 1	1	1446.945	1449.913	0	6479.1	Buzz	
144	Spectrogram 1	1	1448.022	1473.736	547.5	7391.6	Bird	
145	Spectrogram 1	1	1457.974	1469.661	1275.4	6114.1	Bird	low
146	Spectrogram 1	1	1473.685	1488.453	821.3	6022.8	Bird	
147	Spectrogram 1	1	1479.484	1485.703	2555.6	6444.4	Bird	
148	Spectrogram 1	1	1483.614	1487.882	1275.4	7072.5	Bird	
149	Spectrogram 1	1	1489.209	1508.835	547.5	6296.6	Bird	
150	Spectrogram 1	1	1495.657	1524.159	2190.1	6570.3	Bird	
151	Spectrogram 1	1	1503.305	1716.159	3633	14642.2	Other animal	
