Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Sound category	Additional information
1	Spectrogram 1	1	0.122	16.585	973	11051.2	Bird	
2	Spectrogram 1	1	17.683	65.244	540.5	15069.8	Bird	
3	Spectrogram 1	1	61.878	62.945	4324.3	15351.4	Bird	
4	Spectrogram 1	1	66.22	130.854	756.8	14734.9	Bird	
5	Spectrogram 1	1	66.39	67.244	4108.1	12973	Bird	
6	Spectrogram 1	1	115.497	117.784	3837.8	8270.3	Bird	
7	Spectrogram 1	1	131.305	132.463	5513.5	11720.9	Bird	
8	Spectrogram 1	1	132.71	190.133	756.8	11135.1	Bird	
9	Spectrogram 1	1	190.962	224.316	563.4	8676.1	Bird	
10	Spectrogram 1	1	226.145	267.364	563.4	10140.8	Bird	
11	Spectrogram 1	1	249.194	258.584	0	9690.1	Buzz	
12	Spectrogram 1	1	268.328	332.822	0	11042.3	Bird	
13	Spectrogram 1	1	269.599	331.673	1116.3	11162.8	Bird	low
14	Spectrogram 1	1	309.12	318.206	6535.2	18816.9	Other animal	
15	Spectrogram 1	1	319.913	322.657	0	13295.8	Buzz	
16	Spectrogram 1	1	335.977	380.977	788.7	10816.9	Bird	
17	Spectrogram 1	1	365.794	368.538	0	8901.4	Buzz	
18	Spectrogram 1	1	381.745	480.77	563.4	10704.2	Bird	
19	Spectrogram 1	1	423.331	427.721	0	10366.2	Buzz	
20	Spectrogram 1	1	434.062	437.66	0	10366.2	Buzz	
21	Spectrogram 1	1	480.428	520.489	676.1	11718.3	Bird	
22	Spectrogram 1	1	522.059	544.983	450.7	9239.4	Bird	
23	Spectrogram 1	1	546.111	595.812	225.4	10816.9	Bird	
24	Spectrogram 1	1	556.083	557.669	5693	12390.7	Bird	
25	Spectrogram 1	1	597.044	627.63	563.4	10478.9	Bird	
26	Spectrogram 1	1	627.995	652.325	0	13859.2	Bird	
27	Spectrogram 1	1	653.239	681.654	676.1	10028.2	Bird	
28	Spectrogram 1	1	682.117	705.508	901.4	10478.9	Bird	
29	Spectrogram 1	1	706.117	815.634	788.7	9600	Bird	low
30	Spectrogram 1	1	721.087	723.953	0	10028.2	Buzz	
31	Spectrogram 1	1	817.197	869.697	563.4	9126.8	Bird	low
32	Spectrogram 1	1	828.05	830.855	0	7887.3	Buzz	
33	Spectrogram 1	1	854.651	858.218	4688.4	18083.7	Other animal	
34	Spectrogram 1	1	870.648	913.544	450.7	9577.5	Bird	low
35	Spectrogram 1	1	909.794	912.538	5633.8	14197.2	Other animal	
36	Spectrogram 1	1	913.636	943.392	788.7	11605.6	Bird	
37	Spectrogram 1	1	936.228	942.081	0	9352.1	Buzz	low
38	Spectrogram 1	1	944.361	960.154	563.4	11718.3	Bird	
39	Spectrogram 1	1	959.27	985.459	732.4	9183.1	Bird	low
40	Spectrogram 1	1	963.142	987.197	676.1	12056.3	Bird	
41	Spectrogram 1	1	988.16	1054.623	1674.4	11051.2	Bird	low
42	Spectrogram 1	1	988.77	1029.989	563.4	10591.5	Bird	voice in the background
43	Spectrogram 1	1	993.343	996.392	0	6251.2	Bird	
44	Spectrogram 1	1	1032.148	1053.855	901.4	10478.9	Bird	voice in the background
45	Spectrogram 1	1	1058.855	1067.88	676.1	11831	Bird	
46	Spectrogram 1	1	1068.562	1113.971	788.7	10140.8	Bird	
47	Spectrogram 1	1	1116.166	1142.605	788.7	9464.8	Bird	
48	Spectrogram 1	1	1142.422	1146.325	7098.6	16901.4	Other animal	
49	Spectrogram 1	1	1144.983	1198.922	901.4	9464.8	Bird	
50	Spectrogram 1	1	1173.8	1177.276	0	10591.5	Buzz	
51	Spectrogram 1	1	1187.002	1190.355	5802.8	15380.3	Other animal	
52	Spectrogram 1	1	1188.191	1193.404	0	8225.4	Buzz	
53	Spectrogram 1	1	1200.971	1251.886	1014.1	9690.1	Bird	
54	Spectrogram 1	1	1202.434	1205.605	3493	16450.7	Other animal	
55	Spectrogram 1	1	1232.953	1236.672	5183.1	15627.9	Other animal	
56	Spectrogram 1	1	1252.776	1285.459	901.4	9802.8	Bird	
57	Spectrogram 1	1	1283.203	1288.934	0	10478.9	Other animal	
58	Spectrogram 1	1	1289.422	1307.349	901.4	10028.2	Bird	low
59	Spectrogram 1	1	1308.325	1345.886	788.7	11042.3	Bird	
60	Spectrogram 1	1	1347.203	1375.495	788.7	9126.8	Bird	
61	Spectrogram 1	1	1351.227	1353.666	0	7098.6	Buzz	
62	Spectrogram 1	1	1359.337	1375.678	112.7	7549.3	Buzz	
63	Spectrogram 1	1	1378.422	1389.825	676.1	6535.2	Bird	
64	Spectrogram 1	1	1381.837	1391.41	0	4845.1	Buzz	
65	Spectrogram 1	1	1391.569	1400.715	563.4	5633.8	Bird	
66	Spectrogram 1	1	1404.983	1443.495	450.7	7549.3	Bird	
67	Spectrogram 1	1	1413.093	1421.812	0	7774.6	Buzz	
68	Spectrogram 1	1	1419.471	1422.337	6873.2	16563.4	Other animal	
69	Spectrogram 1	1	1447.41	1498.995	338	7549.3	Bird	low
70	Spectrogram 1	1	1486.922	1497.776	0	10366.2	Buzz	
71	Spectrogram 1	1	1490.825	1493.752	4957.7	15323.9	Other animal	
72	Spectrogram 1	1	1498.178	1546.166	0	9577.5	Bird	low
73	Spectrogram 1	1	1525.069	1526.654	3605.6	12394.4	Bird	
74	Spectrogram 1	1	1527.806	1532.319	5569.1	13790.1	Other animal	
75	Spectrogram 1	1	1538.117	1540.922	0	9126.8	Buzz	
76	Spectrogram 1	1	1545.861	1550.617	0	8788.7	Buzz	
77	Spectrogram 1	1	1546.117	1591.203	901.4	8000	Bird	low
78	Spectrogram 1	1	1565.105	1567.178	0	9690.1	Buzz	
79	Spectrogram 1	1	1576.666	1578.617	0	10140.8	Buzz	
80	Spectrogram 1	1	1583.764	1587.056	0	5408.5	Buzz	
81	Spectrogram 1	1	1588.709	1590.477	0	11042.3	Buzz	
82	Spectrogram 1	1	1591.91	1602.337	563.4	9690.1	Bird	
83	Spectrogram 1	1	1602.575	1717.691	588.2	13746.5	Bird	
84	Spectrogram 1	1	1612.575	1615.441	0	6422.5	Buzz	
85	Spectrogram 1	1	1639.039	1690.477	7098.6	16186	Other animal	
86	Spectrogram 1	1	1708.795	1713.429	6293.3	15040	Other animal	
87	Spectrogram 1	1	1726.429	1784.051	640	11413.3	Bird	
88	Spectrogram 1	1	1784.16	1791.599	0	3626.7	Buzz	low
89	Spectrogram 1	1	1788.746	1794.965	7040	15573.3	Other animal	
90	Spectrogram 1	1	1793.38	1802.404	0	8000	Other animal	
91	Spectrogram 1	1	1801.721	1867.648	426.7	8426.7	Bird	
92	Spectrogram 1	1	1807.526	1815.99	0	2240	Buzz	
93	Spectrogram 1	1	1839.356	1843.502	0	6720	Buzz	
94	Spectrogram 1	1	1866.917	1870.819	0	3314.9	Bird	low
95	Spectrogram 1	1	1870.087	1888.258	640	5760	Bird	low
96	Spectrogram 1	1	1890.648	1950.526	663	6497.2	Bird	
97	Spectrogram 1	1	1911.136	1914.185	426.7	15466.7	Other animal	
