Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Sound category	Additional information
1	Spectrogram 1	1	1.646	58.171	734.7	6122.4	Bird	low
2	Spectrogram 1	1	52.134	57.805	3428.6	15551	Other animal	
3	Spectrogram 1	1	59.549	72.841	979.6	7346.9	Bird	low
4	Spectrogram 1	1	93.299	101.744	1102	7224.5	Bird	low
5	Spectrogram 1	1	107.671	116.817	1224.5	6244.9	Bird	low
6	Spectrogram 1	1	133.037	136.055	1567.8	17510.2	Other animal	
7	Spectrogram 1	1	145.232	206.137	857.1	7714.3	Bird	low
8	Spectrogram 1	1	241.043	244.213	612.2	6000	Bird	low
9	Spectrogram 1	1	250.226	261.506	857.1	7224.5	Bird	low
10	Spectrogram 1	1	263.64	281.75	1469.4	8571.4	Bird	low
11	Spectrogram 1	1	294.494	296.811	0	8938.8	Bird	
12	Spectrogram 1	1	303.518	309.311	1836.7	9795.9	Bird	low
13	Spectrogram 1	1	471.997	477.119	1025.1	7175.9	Bird	low
14	Spectrogram 1	1	484.299	492.165	1959.2	12489.8	Other animal	
15	Spectrogram 1	1	527.372	533.165	734.7	6734.7	Bird	low
16	Spectrogram 1	1	553.689	606.591	1224.5	7346.9	Bird	low
17	Spectrogram 1	1	615.384	631.006	489.8	6734.7	Bird	low
18	Spectrogram 1	1	675.128	678.299	489.8	6122.4	Bird	low
19	Spectrogram 1	1	679.762	681.53	4653.1	16530.6	Other animal	
20	Spectrogram 1	1	685.128	690.372	612.2	5510.2	Bird	low
21	Spectrogram 1	1	716.445	725.957	612.2	5755.1	Bird	low
22	Spectrogram 1	1	753.799	759.469	612.2	6612.2	Bird	low
23	Spectrogram 1	1	762.091	767.396	2653.3	16408.2	Other animal	
24	Spectrogram 1	1	766.848	789.226	1102	6489.8	Bird	low
25	Spectrogram 1	1	779.957	785.933	4285.7	17142.9	Other animal	
26	Spectrogram 1	1	798.372	805.323	3428.6	18244.9	Other animal	
27	Spectrogram 1	1	809.348	811.787	0	8693.9	Bird	
28	Spectrogram 1	1	809.994	813.591	4163.3	17142.9	Other animal	
29	Spectrogram 1	1	831.64	836.701	4775.5	17142.9	Other animal	
30	Spectrogram 1	1	835.36	843.287	1224.5	7714.3	Bird	low
31	Spectrogram 1	1	862.006	864.628	241.2	9673.5	Bird	low
32	Spectrogram 1	1	869.36	880.64	857.1	7591.8	Bird	low
33	Spectrogram 1	1	890.152	894.787	603	7959.8	Bird	low
34	Spectrogram 1	1	915.396	919.177	1836.7	15428.6	Other animal	
35	Spectrogram 1	1	964.884	967.933	367.3	5510.2	Bird	low
36	Spectrogram 1	1	973.061	992.36	844.2	12244.9	Bird	low
37	Spectrogram 1	1	1034.287	1095.659	612.2	6612.2	Bird	low
38	Spectrogram 1	1	1112.372	1114.628	0	6367.3	Bird	low
39	Spectrogram 1	1	1143.872	1162.402	482.4	6489.8	Bird	low
40	Spectrogram 1	1	1177.043	1185.03	489.8	6489.8	Bird	low
41	Spectrogram 1	1	1219.274	1224.396	612.2	6122.4	Bird	low
42	Spectrogram 1	1	1249.433	1252.969	1102	15196	Bird	low
43	Spectrogram 1	1	1265.896	1268.213	0	9551	Bird	
44	Spectrogram 1	1	1415.579	1419.909	734.7	9061.2	Bird	low
45	Spectrogram 1	1	1436.494	1439.848	4530.6	19714.3	Other animal	
46	Spectrogram 1	1	1510.348	1515.957	979.6	6734.7	Bird	low
47	Spectrogram 1	1	1524.555	1540.591	2326.5	16775.5	Other animal	
48	Spectrogram 1	1	1618.067	1622.274	4285.7	16285.7	Other animal	
49	Spectrogram 1	1	1628.652	1632.555	3918.4	18122.4	Other animal	
50	Spectrogram 1	1	1657.311	1660.665	3428.6	15428.6	Other animal	
51	Spectrogram 1	1	1664.445	1669.567	489.8	6734.7	Bird	low
52	Spectrogram 1	1	1673.652	1676.701	5020.4	15061.2	Other animal	
53	Spectrogram 1	1	1751.043	1753.543	734.7	9428.6	Bird	low
54	Spectrogram 1	1	1752.14	1756.469	4221.1	19175.9	Other animal	
55	Spectrogram 1	1	1848.555	1855.872	612.2	5510.2	Bird	low
56	Spectrogram 1	1	1886.421	1888.799	2571.4	17510.2	Other animal	
57	Spectrogram 1	1	1983.567	1986.616	1346.9	15551	Other animal	
58	Spectrogram 1	1	1989.969	1993.872	979.6	16163.3	Other animal	
59	Spectrogram 1	1	1995.799	2003.421	367.3	5755.1	Bird	low
60	Spectrogram 1	1	2010.677	2013.909	3306.1	16408.2	Other animal	
61	Spectrogram 1	1	2025.311	2027.933	4285.7	16285.7	Other animal	
62	Spectrogram 1	1	2046.165	2049.579	3738.7	17849.2	Other animal	
63	Spectrogram 1	1	2054.311	2062.36	244.9	6857.1	Bird	low
64	Spectrogram 1	1	2066.652	2070.189	3738.7	17608	Other animal	
65	Spectrogram 1	1	2114.348	2117.915	4221.1	17632.7	Other animal	
66	Spectrogram 1	1	2121.238	2125.994	2050.3	15075.4	Other animal	
67	Spectrogram 1	1	2123.25	2126.299	612.2	13959.2	Other animal	
68	Spectrogram 1	1	2126.36	2130.354	3738.7	16775.5	Other animal	
69	Spectrogram 1	1	2235.701	2239.238	367.3	6874.4	Bird	low
70	Spectrogram 1	1	2249.329	2267.378	1085.4	7236.2	Bird	low
71	Spectrogram 1	1	2267.774	2281.067	603	6489.8	Bird	low
72	Spectrogram 1	1	2291.713	2295.738	4341.7	18090.5	Other animal	
73	Spectrogram 1	1	2307.567	2310.372	4285.7	17969.8	Other animal	
74	Spectrogram 1	1	2332.299	2353.884	857.1	12489.8	Bird	
75	Spectrogram 1	1	2375.872	2388.006	857.1	7102	Bird	low
76	Spectrogram 1	1	2419.774	2423.494	0	10408.2	Bird	dif
77	Spectrogram 1	1	2493.323	2496.006	367.3	12734.7	Bird	low
78	Spectrogram 1	1	2538.726	2542.689	0	10285.7	Bird	low
79	Spectrogram 1	1	2597.36	2599.86	367.3	11632.7	Bird	low
80	Spectrogram 1	1	2634.494	2636.506	979.6	11265.3	Bird	low
81	Spectrogram 1	1	2672.03	2683.738	4408.2	12979.6	Bird	
82	Spectrogram 1	1	2697.86	2702.006	241.2	10854.3	Bird	low
83	Spectrogram 1	1	2707.982	2711.152	3918.4	11877.6	Bird	
84	Spectrogram 1	1	2737.098	2741.244	4341.7	15919.6	Other animal	
85	Spectrogram 1	1	2805.335	2809.603	4221.1	19175.9	Other animal	
86	Spectrogram 1	1	2820.823	2823.994	3859.3	19899.5	Other animal	
87	Spectrogram 1	1	3156.884	3159.628	1102	13836.7	Bird	low
88	Spectrogram 1	1	3371.055	3387.701	612.2	6489.8	Bird	low
89	Spectrogram 1	1	3454.079	3456.701	0	6734.7	Bird	low
90	Spectrogram 1	1	3582.176	3586.201	612.2	14816.3	Bird	low
91	Spectrogram 1	1	3598.396	3606.567	2412.1	19417.1	Other animal	
